0	0	-0.000389607335627
0	1	0.0
0	2	-0.0
0	3	0.0
1	0	0.0
1	1	-0.000389607335627
1	2	0.0
1	3	-0.0
2	0	-0.000313688628748
2	1	0.0
2	2	-0.0
2	3	0.0
3	0	0.0
3	1	-0.000313688628748
3	2	0.0
3	3	-0.0
4	0	0.0
4	1	0.0
4	2	-0.00604463360317
4	3	0.0
5	0	0.0
5	1	0.0
5	2	0.0
5	3	-0.00604463360317
6	0	0.00521212334592
6	1	0.0
6	2	0.0
6	3	0.0
7	0	0.0
7	1	0.00521212334592
7	2	0.0
7	3	0.0
8	0	0.0
8	1	0.0
8	2	0.0
8	3	0.0
9	0	0.0
9	1	0.0
9	2	0.0
9	3	0.0
